2535 N 5 ST,,PHILA,CA,90210,3B
1 V ST NW,,WASHINGTON,DC,20001,3B
10 49TH PL NE,,WASHINGTON,DC,20019,3A
10 INGRAHAM ST NW,,WASHINGTON,DC,20011,3B
10 R ST NW,,WASHINGTON,DC,20001,3A
1000 KENILWORTH AVE NE,,WASHINGTON,DC,20019,3A
1000 PARK RD NW,,WASHINGTON,DC,20010,3B
1002 O ST NW,,WASHINGTON,DC,20001,3B
1002 RIDGE RD SE,,WASHINGTON,DC,20019,3B
1003 LAMONT ST NW,,WASHINGTON,DC,20010,3B
1004 G ST NE,,WASHINGTON,DC,20002,3B
1004 S ST NW,,WASHINGTON,DC,20001,3B
1006 O ST NW,,WASHINGTON,DC,20001,3B
1006 PARK RD NW,,WASHINGTON,DC,20010,3B
1007 IRVING ST NW,,WASHINGTON,DC,20010,3B
1007 MONROE ST NW,APT 2,WASHINGTON,DC,20010,3B
1007A I ST NE,AAPT,WASHINGTON,DC,20002,3B
1008 S ST NW,,WASHINGTON,DC,20001,3A
1008 W ST NW,,WASHINGTON,DC,20001,3B
1009 17TH ST NE,APT 3,WASHINGTON,DC,20002,3A
1009 17TH ST NE,APT 1,WASHINGTON,DC,20002,3B
101 36TH ST NE,,WASHINGTON,DC,20019,3B
1010 16TH ST NE,APT 3,WASHINGTON,DC,20002,3B
1011 S ST NW,,WASHINGTON,DC,20001,3A
1011 WEBSTER ST NW,APT BSMT,WASHINGTON,DC,20011,3B
1012 16TH ST NE,APT 2,WASHINGTON,DC,20002,3B
1015 16TH ST NE,APT 3,WASHINGTON,DC,20002,3B
1015 EUCLID ST NW,APT 1,WASHINGTON,DC,20001,3B
1015 FAIRMONT ST NW,,WASHINGTON,DC,20001,3B
1017 V ST NW,,WASHINGTON,DC,20001,3A
1018 16TH ST NE,APT 3,WASHINGTON,DC,20002,3A
1019 WEBSTER ST NW,,WASHINGTON,DC,20011,3A
1020 W ST NW,,WASHINGTON,DC,20001,3A
1023 16TH ST NE,APT 1,WASHINGTON,DC,20002,3B
1023 COLUMBIA RD NW,,WASHINGTON,DC,20001,3B
1026 18TH ST NE,,WASHINGTON,DC,20002,3A
1028 FAIRMONT ST NW,,WASHINGTON,DC,20001,3A
1029 16TH ST NE,,WASHINGTON,DC,20002,3B
103 36TH ST NE,,WASHINGTON,DC,20019,3B
1031 16TH ST NE,,WASHINGTON,DC,20002,3B
1033 LAMONT ST NW,,WASHINGTON,DC,20010,3A
104 DIVISION AVE NE,,WASHINGTON,DC,20019,3A
105 P ST NW,,WASHINGTON,DC,20001,3A
1050 QUEBEC PL NW,,WASHINGTON,DC,20010,3A
106 50TH ST NE,,WASHINGTON,DC,20019,3B
107 36TH ST NE,,WASHINGTON,DC,20019,3B
107 P ST NW,APT BSMT,WASHINGTON,DC,20001,3A
109 RITTENHOUSE ST NW,,WASHINGTON,DC,20011,3B
